# GT-EV-Testbed UART telemetry log
# session_start_ms,3995
# master_id,101,slave_id,102
# poll_ms=125, dual_uart, read_only
millis_ms,esc_id,vbat_v,rpm,motor_a,input_a,duty,fet_c,motor_c,fault
4330,102,57.770,265,0.0912,0.0001,0.03420,25.9,-60.0,0
4336,102,57.860,50,0.0109,0.0000,0.01500,26.0,-60.0,0
4455,102,57.760,185,0.0000,0.0000,0.03030,25.9,-60.0,0
4455,102,57.840,214,0.0000,0.0000,0.01770,26.0,-60.0,0
4580,102,57.780,113,0.0000,0.0000,0.03220,25.9,-60.0,0
4580,102,57.860,171,0.0000,0.0000,0.02230,26.0,-60.0,0
4705,102,57.790,136,0.0000,0.0000,0.03700,25.9,-60.0,0
4705,102,57.860,246,0.0000,0.0000,0.00890,26.0,-60.0,0
4830,102,57.760,520,0.0000,0.0000,-0.03420,25.9,-60.0,0
4830,102,57.860,59,0.0000,0.0000,0.01410,26.0,-60.0,0
4955,102,57.760,286,0.0000,0.0000,0.03220,25.9,-60.0,0
4955,102,57.860,121,0.0000,0.0000,0.01160,26.0,-60.0,0
5080,102,57.750,306,0.0000,0.0000,0.02310,25.9,-60.0,0
5080,102,57.860,0,0.0000,0.0000,0.00900,26.0,-60.0,0
5205,102,57.770,181,0.0000,0.0000,0.03170,25.9,-60.0,0
5205,102,57.870,0,0.0000,0.0000,0.00810,26.0,-60.0,0
5330,102,57.780,439,0.0000,0.0000,0.03630,25.9,-60.0,0
5330,102,57.860,-10,0.0000,0.0000,0.00900,26.0,-60.0,0
5455,102,57.770,231,0.0000,0.0000,0.02910,25.9,-60.0,0
5455,102,57.860,0,0.0000,0.0000,0.00920,26.0,-60.0,0
5580,102,57.790,264,0.0000,0.0000,0.02390,25.9,-60.0,0
5580,102,57.860,0,0.0000,0.0000,0.01010,26.0,-60.0,0
5705,102,57.750,269,0.0000,0.0000,0.02470,25.9,-60.0,0
5705,102,57.850,0,0.0000,0.0000,0.01090,26.0,-60.0,0
5830,102,57.760,259,0.0000,0.0000,0.01330,25.9,-60.0,0
5830,102,57.860,5,0.0000,0.0000,0.01080,26.0,-60.0,0
5955,102,57.730,177,0.0000,0.0000,0.02080,25.9,-60.0,0
5955,102,57.860,0,0.0000,0.0000,0.01030,26.0,-60.0,0
6080,102,57.770,149,0.0000,0.0000,0.01610,25.9,-60.0,0
6080,102,57.860,21,0.0000,0.0000,0.00950,26.0,-60.0,0
6205,102,57.760,127,0.0000,0.0000,0.00930,25.9,-60.0,0
6205,102,57.860,0,0.0000,0.0000,0.00980,26.0,-60.0,0
6330,102,57.770,132,0.0000,0.0000,0.01550,25.9,-60.0,0
6330,102,57.860,0,0.0000,0.0000,0.00960,26.0,-60.0,0
6455,102,57.770,64,0.0000,0.0000,0.01160,25.9,-60.0,0
6455,102,57.850,0,0.0000,0.0000,0.00950,26.0,-60.0,0
6580,102,57.760,70,0.0000,0.0000,0.00990,25.9,-60.0,0
6580,102,57.860,0,0.0000,0.0000,0.00950,26.0,-60.0,0
6705,102,57.760,0,0.0000,0.0000,0.00930,25.9,-60.0,0
6705,102,57.860,0,0.0000,0.0000,0.00930,26.0,-60.0,0
6830,102,57.790,0,0.0000,0.0000,0.00880,25.9,-60.0,0
6830,102,57.870,0,0.0000,0.0000,0.00930,25.9,-60.0,0
6955,102,57.750,0,0.0000,0.0000,0.00910,25.9,-60.0,0
6955,102,57.850,0,0.0000,0.0000,0.00950,26.0,-60.0,0
7080,102,57.760,0,0.0000,0.0000,0.00930,25.9,-60.0,0
7080,102,57.870,0,0.0000,0.0000,0.00940,26.0,-60.0,0
7205,102,57.750,0,0.0000,0.0000,0.00900,25.9,-60.0,0
7205,102,57.870,0,0.0000,0.0000,0.00950,26.0,-60.0,0
7330,102,57.750,0,0.0000,0.0000,0.00930,25.9,-60.0,0
7330,102,57.860,0,0.0000,0.0000,0.00930,26.0,-60.0,0
7455,102,57.750,0,0.0000,0.0000,0.00900,25.9,-60.0,0
7455,102,57.860,0,0.0000,0.0000,0.00950,26.0,-60.0,0
7580,102,57.740,0,0.0000,0.0000,0.00890,25.9,-60.0,0
7580,102,57.860,0,0.0000,0.0000,0.00930,26.0,-60.0,0
7705,102,57.760,0,0.0000,0.0000,0.00900,25.9,-60.0,0
7705,102,57.860,0,0.0000,0.0000,0.00940,26.0,-60.0,0
7830,102,57.760,0,0.0000,0.0000,0.00880,25.9,-60.0,0
7830,102,57.860,0,0.0000,0.0000,0.00930,26.0,-60.0,0
7955,102,57.770,0,0.0000,0.0000,0.00920,25.9,-60.0,0
7955,102,57.870,0,0.0000,0.0000,0.00940,26.0,-60.0,0
8080,102,57.760,0,0.0000,0.0000,0.00900,25.9,-60.0,0
8080,102,57.850,0,0.0000,0.0000,0.00940,26.0,-60.0,0
8205,102,57.740,0,0.0000,0.0000,0.00890,25.9,-60.0,0
8205,102,57.850,0,0.0000,0.0000,0.00940,26.0,-60.0,0
8330,102,57.730,0,0.0000,0.0000,0.00920,25.9,-60.0,0
8330,102,57.860,0,0.0000,0.0000,0.00980,26.0,-60.0,0
8455,102,57.760,0,0.0000,0.0000,0.00900,25.9,-60.0,0
8455,102,57.860,0,0.0000,0.0000,0.00940,26.0,-60.0,0
8580,102,57.760,0,0.0000,0.0000,0.00900,25.9,-60.0,0
8580,102,57.860,0,0.0000,0.0000,0.00940,26.0,-60.0,0
8705,102,57.760,0,0.0000,0.0000,0.00900,25.9,-60.0,0
8705,102,57.860,0,0.0000,0.0000,0.00950,25.9,-60.0,0
8830,102,57.760,0,0.0000,0.0000,0.00890,25.9,-60.0,0
8830,102,57.860,0,0.0000,0.0000,0.00950,26.0,-60.0,0
8955,102,57.770,0,0.0000,0.0000,0.00880,25.9,-60.0,0
8955,102,57.860,0,0.0000,0.0000,0.00950,26.0,-60.0,0
9081,102,57.750,-48,0.0000,0.0000,0.00880,25.9,-60.0,0
9081,102,57.860,0,0.0000,0.0000,0.00960,26.0,-60.0,0
9206,102,57.750,-2,0.0000,0.0000,0.00800,25.9,-60.0,0
9206,102,57.860,0,0.0000,0.0000,0.00950,26.0,-60.0,0
9331,102,57.770,0,0.0000,0.0000,0.00810,25.9,-60.0,0
9331,102,57.860,0,0.0000,0.0000,0.00960,26.0,-60.0,0
9456,102,57.750,-65,0.0000,0.0000,-0.01000,25.9,-60.0,0
9456,102,57.860,0,0.0000,0.0000,0.00970,26.0,-60.0,0
9581,102,57.770,-80,0.0000,0.0000,-0.01210,25.9,-60.0,0
9581,102,57.860,0,0.0000,0.0000,0.00960,26.0,-60.0,0
9706,102,57.760,-57,0.0000,0.0000,-0.01540,25.9,-60.0,0
9706,102,57.840,0,0.0000,0.0000,0.00960,26.0,-60.0,0
9831,102,57.760,-118,0.0000,0.0000,-0.01000,25.9,-60.0,0
9831,102,57.850,20,0.0000,0.0000,-0.00930,26.0,-60.0,0
9956,102,57.770,-167,0.0000,0.0000,-0.01400,25.9,-60.0,0
9956,102,57.850,0,0.0000,0.0000,-0.00930,26.0,-60.0,0
10081,102,57.750,-185,0.0000,0.0000,-0.01620,25.9,-60.0,0
10081,102,57.850,0,0.0000,0.0000,-0.00910,26.0,-60.0,0
10206,102,57.750,-210,0.0000,0.0000,-0.01390,25.9,-60.0,0
