# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,3996
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.3.0
# poll_ms=125,drive=PPM D6/D10
# control_state: 0=STOP_NO_THROTTLE 1=NORMAL_DRIVE 2=STEERING_TIMEOUT 3=FAILSAFE_STOP
# throttle_age_ms,steering_age_ms: -1 if channel never seen
# stop_commanded: 1=firmware neutral due to invalid throttle only
time_ms,loop_dt_ms,throttle_us,steering_us,throttle_norm,steering_norm,left_mix,right_mix,master_ppm_us,slave_ppm_us,throttle_age_ms,steering_age_ms,throttle_signal_valid,steering_signal_valid,throttle_ever_seen,steering_ever_seen,stop_commanded,control_state,esc1_last_update_age_ms,esc2_last_update_age_ms,esc1_rpm,esc1_duty,esc1_motor_current,esc1_input_current,esc1_vin,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_current,esc2_input_current,esc2_vin,esc2_fault_code,esc2_fault_name
4588,0,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00910,-0.0907,-0.0001,57.610,0,NONE,0,0.00970,0.0006,0.0000,57.710,0,NONE
4724,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00910,0.0000,0.0000,57.590,0,NONE,0,0.00950,0.0000,0.0000,57.710,0,NONE
4860,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00910,0.0000,0.0000,57.590,0,NONE,0,0.00960,0.0000,0.0000,57.710,0,NONE
4996,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00000,-0.4759,-0.0005,57.590,0,NONE,0,0.00000,0.0055,0.0001,57.700,0,NONE
5132,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00000,-1.4007,-0.0013,57.600,0,NONE,0,0.00000,0.0797,0.0002,57.710,0,NONE
5268,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00000,-1.3909,-0.0013,57.600,0,NONE,0,0.00000,-0.0048,0.0000,57.700,0,NONE
5404,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00000,-1.4406,-0.0013,57.600,0,NONE,0,0.00000,-0.2009,-0.0003,57.720,0,NONE
5540,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00000,-1.3856,-0.0013,57.600,0,NONE,0,0.00000,-0.2653,-0.0004,57.710,0,NONE
5676,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00000,-1.4813,-0.0014,57.620,0,NONE,0,0.00000,-0.3397,-0.0005,57.700,0,NONE
5812,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,135,0.00000,-1.3668,-0.0016,57.600,0,NONE,-5,0.00000,-0.5207,-0.0007,57.710,0,NONE
5948,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,96,0.00000,0.6983,-0.0000,57.610,0,NONE,0,0.00000,0.2179,0.0001,57.720,0,NONE
6084,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,30,0.00000,-0.7939,-0.0018,57.610,0,NONE,98,0.00000,0.6303,0.0007,57.720,0,NONE
6220,136,1469,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,1,99,0.00000,-2.5399,-0.0031,57.590,0,NONE,97,0.00000,0.7109,0.0010,57.710,0,NONE
6356,136,1469,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,65,0.00000,-2.0020,-0.0028,57.600,0,NONE,0,0.00000,0.6696,0.0004,57.710,0,NONE
6492,136,1469,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,-1.5101,-0.0016,57.610,0,NONE,2,0.00000,0.3920,0.0004,57.710,0,NONE
6628,136,1469,1505,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,-0.8493,-0.0012,57.600,0,NONE,0,0.00000,0.2697,0.0001,57.720,0,NONE
6764,136,1469,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,-1.5034,-0.0013,57.610,0,NONE,0,0.00000,0.2608,0.0001,57.720,0,NONE
6900,136,1400,1506,0.2000,0.0000,0.0150,0.0150,1500,1500,0,30,1,1,1,1,0,1,32,1,0,0.00000,-1.4269,-0.0013,57.590,0,NONE,0,0.00000,0.2752,0.0002,57.710,0,NONE
7036,136,1304,1506,0.3920,0.0000,0.0750,0.0750,1529,1529,0,30,1,1,1,1,0,1,32,1,0,0.00000,-1.4373,-0.0013,57.590,0,NONE,0,0.00000,0.2848,0.0002,57.700,0,NONE
7172,136,1280,1506,0.4400,0.0000,0.1350,0.1350,1553,1553,0,30,1,1,1,1,0,1,32,1,0,0.00000,-1.4592,-0.0013,57.610,0,NONE,0,0.02020,0.5033,0.0058,57.690,0,NONE
7308,136,1298,1506,0.4040,0.0000,0.1950,0.1950,1578,1578,0,31,1,1,1,1,0,1,32,1,60,0.05310,4.2793,0.1500,57.460,0,NONE,205,0.06760,4.3894,0.1850,57.500,0,NONE
7444,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,140,0.10670,8.7865,0.6020,57.080,0,NONE,479,0.10470,9.1884,0.7365,57.200,0,NONE
7580,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,346,0.00000,6.4028,0.4141,57.420,0,NONE,167,0.00000,4.5994,0.1510,56.600,0,NONE
7716,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,69,0.00000,-1.8789,-0.0034,56.810,0,NONE,30,0.00000,1.7112,0.0022,57.670,0,NONE
7852,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,123,0.00000,-1.0091,-0.0012,57.580,0,NONE,57,0.00000,0.3806,0.0003,57.680,0,NONE
7988,136,1470,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,1.5166,0.0011,57.590,0,NONE,0,0.00000,0.1952,-0.0002,57.680,0,NONE
8124,136,1447,1506,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,0,0.00000,1.5990,0.0013,57.590,0,NONE,-124,0.00000,-0.1164,-0.0002,57.690,0,NONE
8297,173,1396,1506,0.2080,0.0000,0.0300,0.0300,1512,1512,37,0,1,1,1,1,0,1,38,1,0,0.00000,1.4457,0.0010,57.590,0,NONE,0,0.00000,0.2996,0.0002,57.680,0,NONE
8433,136,1382,1506,0.2360,0.0000,0.0900,0.0900,1536,1536,37,0,1,1,1,1,0,1,38,1,0,0.00000,1.4609,0.0010,57.590,0,NONE,0,0.00000,0.2725,0.0002,57.680,0,NONE
8569,136,1379,1506,0.2420,0.0000,0.1053,0.1053,1542,1542,37,0,1,1,1,1,0,1,38,1,0,0.01810,1.6708,0.0086,57.570,0,NONE,73,0.02630,1.0143,0.0171,57.640,0,NONE
8705,136,1342,1506,0.3160,0.0000,0.1453,0.1453,1558,1558,37,0,1,1,1,1,0,1,38,1,115,0.03250,4.1846,0.0999,57.540,0,NONE,86,0.04280,3.0631,0.0824,57.580,0,NONE
8841,136,1349,1506,0.3020,0.0000,0.1373,0.1373,1554,1554,37,0,1,1,1,1,0,1,38,1,236,0.06340,3.5446,0.1384,57.380,0,NONE,272,0.06140,4.4907,0.2014,57.480,0,NONE
8977,136,1348,1506,0.3040,0.0000,0.1385,0.1385,1555,1555,37,0,1,1,1,1,0,1,38,1,90,0.05520,6.3361,0.2777,57.460,0,NONE,454,0.05730,2.9998,0.1435,57.570,0,NONE
9113,136,1353,1506,0.2940,0.0000,0.1328,0.1328,1553,1553,37,0,1,1,1,1,0,1,38,1,605,0.05930,3.5829,0.1586,57.260,0,NONE,422,0.06140,2.4137,0.1140,57.650,0,NONE
