# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,4061
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.3.0
# poll_ms=125,drive=PPM D6/D10
# control_state: 0=STOP_NO_THROTTLE 1=NORMAL_DRIVE 2=STEERING_TIMEOUT 3=FAILSAFE_STOP
# throttle_age_ms,steering_age_ms: -1 if channel never seen
# stop_commanded: 1=firmware neutral due to invalid throttle only
time_ms,loop_dt_ms,throttle_us,steering_us,throttle_norm,steering_norm,left_mix,right_mix,master_ppm_us,slave_ppm_us,throttle_age_ms,steering_age_ms,throttle_signal_valid,steering_signal_valid,throttle_ever_seen,steering_ever_seen,stop_commanded,control_state,esc1_last_update_age_ms,esc2_last_update_age_ms,esc1_rpm,esc1_duty,esc1_motor_current,esc1_input_current,esc1_vin,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_current,esc2_input_current,esc2_vin,esc2_fault_code,esc2_fault_name
4648,0,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,47,1,0,0.00940,-0.1814,-0.0002,57.660,0,NONE,0,-0.00890,-0.0521,0.0000,57.700,0,NONE
4795,147,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,46,0,0,0.00000,-0.4639,-0.0005,57.680,0,NONE,0,0.00000,-0.3073,0.0000,57.740,0,NONE
4933,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,46,0,0,0.00000,-1.5005,-0.0015,57.680,0,NONE,0,0.00000,-0.5023,0.0001,57.740,0,NONE
5075,142,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,51,1,0,0.00000,-1.5020,-0.0015,57.690,0,NONE,0,0.00000,-0.4173,0.0001,57.720,0,NONE
5213,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,46,1,0,0.00000,-1.5180,-0.0015,57.680,0,NONE,0,0.00000,-0.4897,0.0001,57.730,0,NONE
5351,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,46,1,0,0.00000,-1.5397,-0.0015,57.660,0,NONE,0,0.00000,-0.4401,0.0000,57.720,0,NONE
5489,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,47,1,0,0.00000,-1.5139,-0.0015,57.670,0,NONE,0,0.00000,-0.4367,0.0001,57.730,0,NONE
5627,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,47,1,0,0.00000,-1.5158,-0.0015,57.680,0,NONE,0,0.00000,-0.4404,0.0001,57.730,0,NONE
5765,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,47,1,0,0.00000,-1.5005,-0.0015,57.690,0,NONE,0,0.00000,-0.4490,0.0001,57.720,0,NONE
5903,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,47,1,0,0.00000,-1.5106,-0.0015,57.680,0,NONE,0,0.00000,-0.4516,0.0001,57.730,0,NONE
6041,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,47,1,0,0.00000,-1.5084,-0.0015,57.670,0,NONE,0,0.00000,-0.4731,0.0001,57.720,0,NONE
6179,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,47,1,0,0.00000,-1.5277,-0.0015,57.670,0,NONE,0,0.00000,-0.4486,0.0001,57.740,0,NONE
6317,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,46,0,0,0.00000,-1.5047,-0.0015,57.680,0,NONE,0,0.00000,-0.4808,0.0001,57.730,0,NONE
6455,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,-1,-1,0,0,0,0,1,0,46,0,0,0.00000,-1.5093,-0.0015,57.690,0,NONE,0,0.00000,-0.4913,0.0001,57.720,0,NONE
