# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,4060
# master_id,101,slave_id,102
# poll_ms=125,drive=PPM D6/D10
millis_ms,esc_id,vbat_v,rpm,motor_a,input_a,duty,fet_c,motor_c,fault,thr_us,str_us,mst_ppm_us,slv_ppm_us
4415,102,3.640,0,0.0000,0.0000,-0.14740,26.1,-60.0,8,1500,1500,1500,1500
4467,102,3.660,0,0.0000,0.0000,-0.15180,26.1,-60.0,8,1500,1500,1500,1500
4558,102,3.640,0,0.0000,0.0000,-0.14660,26.1,-60.0,8,1500,1500,1500,1500
4605,102,3.650,0,0.0000,0.0000,-0.15320,26.1,-60.0,8,1500,1500,1500,1500
4696,102,3.640,0,0.0000,0.0000,-0.14650,26.0,-60.0,8,1500,1500,1500,1500
4742,102,3.660,0,0.0000,0.0000,-0.15000,26.1,-60.0,8,1500,1500,1500,1500
4834,102,3.630,0,0.0000,0.0000,-0.14440,26.1,-60.0,8,1500,1500,1500,1500
4880,102,3.650,0,0.0000,0.0000,-0.15090,26.1,-60.0,8,1500,1500,1500,1500
4971,102,3.630,0,0.0000,0.0000,-0.14670,26.1,-60.0,8,1500,1500,1500,1500
5018,102,3.640,0,0.0000,0.0000,-0.15120,26.1,-60.0,8,1500,1500,1500,1500
5116,102,3.630,0,0.0000,0.0000,-0.14730,26.1,-60.0,8,1500,1500,1500,1500
5162,102,3.650,0,0.0000,0.0000,-0.15130,26.1,-60.0,8,1500,1500,1500,1500
5253,102,3.640,0,0.0000,0.0000,-0.14440,26.1,-60.0,8,1500,1500,1500,1500
5300,102,3.650,0,0.0000,0.0000,-0.15260,26.1,-60.0,8,1500,1500,1500,1500
5391,102,3.630,0,0.0000,0.0000,-0.14470,26.1,-60.0,8,1500,1500,1500,1500
5437,102,3.650,0,0.0000,0.0000,-0.14980,26.1,-60.0,8,1500,1500,1500,1500
5529,102,3.630,0,0.0000,0.0000,-0.14520,26.1,-60.0,8,1500,1500,1500,1500
5575,102,3.650,0,0.0000,0.0000,-0.15090,26.1,-60.0,8,1500,1500,1500,1500
5667,102,3.620,0,0.0000,0.0000,-0.14700,26.1,-60.0,8,1500,1500,1500,1500
5713,102,3.640,0,0.0000,0.0000,-0.15360,26.1,-60.0,8,1500,1500,1500,1500
5804,102,3.630,0,0.0000,0.0000,-0.15110,26.1,-60.0,8,1500,1500,1500,1500
5851,102,3.650,0,0.0000,0.0000,-0.15020,26.1,-60.0,8,1500,1500,1500,1500
5942,102,3.640,0,0.0000,0.0000,-0.14670,26.1,-60.0,8,1500,1500,1500,1500
5988,102,3.660,0,0.0000,0.0000,-0.15000,26.1,-60.0,8,1500,1500,1500,1500
6080,102,3.630,0,0.0000,0.0000,-0.14530,26.1,-60.0,8,1500,1500,1500,1500
6126,102,3.660,0,0.0000,0.0000,-0.15170,26.1,-60.0,8,1500,1500,1500,1500
6217,102,3.630,0,0.0000,0.0000,-0.14760,26.1,-60.0,8,1500,1500,1500,1500
6263,102,3.640,0,0.0000,0.0000,-0.15160,26.1,-60.0,8,1500,1500,1500,1500
6355,102,3.630,0,0.0000,0.0000,-0.14660,26.1,-60.0,8,1500,1500,1500,1500
6401,102,3.640,0,0.0000,0.0000,-0.14930,26.1,-60.0,8,1500,1500,1500,1500
6493,102,3.630,0,0.0000,0.0000,-0.14370,26.1,-60.0,8,1500,1500,1500,1500
6539,102,3.650,0,0.0000,0.0000,-0.14760,26.1,-60.0,8,1500,1500,1500,1500
6630,102,3.620,0,0.0000,0.0000,-0.14760,26.1,-60.0,8,1500,1500,1500,1500
