# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,3993
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.2.0
# poll_ms=125,drive=PPM D6/D10
time_ms,loop_dt_ms,throttle_us,steering_us,throttle_norm,steering_norm,left_mix,right_mix,master_ppm_us,slave_ppm_us,rc_last_update_age_ms,rc_signal_valid,esc1_last_update_age_ms,esc2_last_update_age_ms,esc1_rpm,esc1_duty,esc1_motor_current,esc1_input_current,esc1_vin,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_current,esc2_input_current,esc2_vin,esc2_fault_code,esc2_fault_name
4594,0,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00930,-0.0852,-0.0001,57.680,0,NONE,0,-0.00900,-0.0092,-0.0000,57.720,0,NONE
4738,144,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00940,0.0000,0.0000,57.660,0,NONE,0,-0.00880,0.0000,0.0000,57.730,0,NONE
4876,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00940,0.0000,0.0000,57.660,0,NONE,0,-0.00880,0.0000,0.0000,57.730,0,NONE
5014,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-0.5533,-0.0006,57.700,0,NONE,0,0.00000,-0.4002,0.0001,57.780,0,NONE
5158,144,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.5060,-0.0015,57.680,0,NONE,0,0.00000,-0.5175,0.0001,57.730,0,NONE
5296,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.5064,-0.0015,57.690,0,NONE,0,0.00000,-0.4386,0.0001,57.760,0,NONE
5434,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.5348,-0.0015,57.710,0,NONE,0,0.00000,-0.5580,0.0002,57.770,0,NONE
5572,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5234,-0.0015,57.710,0,NONE,0,0.00000,-0.5231,0.0001,57.770,0,NONE
5710,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5551,-0.0016,57.700,0,NONE,0,0.00000,-0.4746,0.0002,57.730,0,NONE
5848,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5343,-0.0015,57.710,0,NONE,0,0.00000,-0.4520,0.0001,57.740,0,NONE
5986,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5528,-0.0015,57.690,0,NONE,0,0.00000,-0.4376,0.0001,57.750,0,NONE
6123,137,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.5442,-0.0015,57.690,0,NONE,0,0.00000,-0.4417,0.0002,57.760,0,NONE
6261,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.5420,-0.0015,57.700,0,NONE,0,0.00000,-0.4573,0.0002,57.770,0,NONE
6399,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5555,-0.0015,57.710,0,NONE,0,0.00000,-0.4462,0.0002,57.780,0,NONE
6537,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5410,-0.0015,57.690,0,NONE,0,0.00000,-0.4482,0.0002,57.750,0,NONE
6675,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5425,-0.0015,57.700,0,NONE,0,0.00000,-0.4241,0.0001,57.750,0,NONE
6813,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5644,-0.0015,57.710,0,NONE,0,0.00000,-0.4316,0.0001,57.750,0,NONE
6950,137,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.5576,-0.0015,57.720,0,NONE,0,0.00000,-0.4440,0.0001,57.760,0,NONE
7088,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.5732,-0.0015,57.700,0,NONE,0,0.00000,-0.4124,0.0002,57.750,0,NONE
7226,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5857,-0.0016,57.700,0,NONE,0,0.00000,-0.4196,0.0002,57.780,0,NONE
7364,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5813,-0.0015,57.690,0,NONE,0,0.00000,-0.4345,0.0002,57.770,0,NONE
7502,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5575,-0.0016,57.690,0,NONE,0,0.00000,-0.3995,0.0001,57.750,0,NONE
7640,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5605,-0.0015,57.700,0,NONE,0,0.00000,-0.4938,0.0001,57.740,0,NONE
7777,137,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.5518,-0.0015,57.720,0,NONE,0,0.00000,-0.4587,0.0001,57.760,0,NONE
7915,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.5766,-0.0015,57.690,0,NONE,0,0.00000,-0.4411,0.0001,57.760,0,NONE
8053,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.5620,-0.0015,57.700,0,NONE,0,0.00000,-0.4518,0.0002,57.760,0,NONE
8265,212,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.4876,-0.0015,57.710,0,NONE,0,0.00000,-0.5000,0.0001,57.780,0,NONE
8403,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5205,-0.0015,57.690,0,NONE,0,0.00000,-0.5807,0.0002,57.770,0,NONE
8540,137,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.5547,-0.0015,57.720,0,NONE,0,0.00000,-0.5590,0.0002,57.790,0,NONE
8678,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.5515,-0.0015,57.740,0,NONE,0,0.00000,-0.5370,0.0002,57.810,0,NONE
8816,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.5614,-0.0015,57.740,0,NONE,0,0.00000,-0.4953,0.0002,57.790,0,NONE
8954,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5595,-0.0015,57.730,0,NONE,0,0.00000,-0.4553,0.0002,57.760,0,NONE
9092,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5729,-0.0016,57.740,0,NONE,0,0.00000,-0.4409,0.0002,57.750,0,NONE
9230,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5427,-0.0015,57.730,0,NONE,0,0.00000,-0.4541,0.0002,57.770,0,NONE
9367,137,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.5638,-0.0015,57.720,0,NONE,0,0.00000,-0.4863,0.0002,57.780,0,NONE
9505,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.5631,-0.0015,57.720,0,NONE,0,0.00000,-0.4769,0.0002,57.790,0,NONE
9643,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.5432,-0.0015,57.730,0,NONE,0,0.00000,-0.4704,0.0002,57.810,0,NONE
9877,234,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.4937,-0.0015,58.070,0,NONE,0,0.00000,-0.5188,0.0002,58.060,0,NONE
10017,140,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,48,1,0,0.00000,-1.4697,-0.0014,58.070,0,NONE,0,0.00000,-0.5469,0.0002,57.770,0,NONE
10189,172,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.4657,-0.0015,57.870,0,NONE,0,0.00000,-0.5387,0.0002,58.210,0,NONE
10415,226,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,53,1,0,0.00000,-1.4569,-0.0014,58.110,0,NONE,0,0.00000,-0.4688,0.0002,58.250,0,NONE
10563,148,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,48,1,0,0.00000,-1.4449,-0.0014,57.950,0,NONE,0,0.00000,-0.4578,0.0002,57.770,0,NONE
10703,140,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.4902,-0.0015,57.710,0,NONE,0,0.00000,-0.4330,0.0002,58.000,0,NONE
10942,239,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,145,0,0,0.00000,-1.5020,-0.0015,58.000,0,NONE,0,0.00000,-0.5387,0.0002,57.740,0,NONE
11108,166,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,54,1,0,0.00000,-1.4409,-0.0014,58.050,0,NONE,0,0.00000,-0.5073,0.0002,57.750,0,NONE
11248,140,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.4508,-0.0015,57.690,0,NONE,0,0.00000,-0.5160,0.0002,58.010,0,NONE
11390,142,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,48,0,0,0.00000,-1.4864,-0.0015,57.880,0,NONE,0,0.00000,-0.5379,0.0002,57.740,0,NONE
11621,231,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,58,1,0,0.00000,-1.4765,-0.0015,57.920,0,NONE,0,0.00000,-0.5285,0.0002,57.780,0,NONE
11761,140,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.4684,-0.0015,57.710,0,NONE,0,0.00000,-0.5028,0.0001,58.020,0,NONE
11902,141,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,1,0,0.00000,-1.5250,-0.0015,57.930,0,NONE,0,0.00000,-0.5157,0.0002,57.790,0,NONE
12149,247,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,56,1,0,0.00000,-1.5215,-0.0015,57.710,0,NONE,0,0.00000,-0.5486,0.0002,58.010,0,NONE
12288,139,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.4487,-0.0014,57.690,0,NONE,0,0.00000,-0.5443,0.0002,57.930,0,NONE
12430,142,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,48,1,0,0.00000,-1.5149,-0.0015,57.890,0,NONE,0,0.00000,-0.5825,0.0002,57.750,0,NONE
12568,138,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,1,0,0.00000,-1.5171,-0.0015,57.700,0,NONE,0,0.00000,-0.5708,0.0002,57.920,0,NONE
12818,250,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,46,0,0,0.00000,-1.4741,-0.0014,57.990,0,NONE,0,0.00000,-0.5816,0.0002,58.050,0,NONE
12957,139,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,47,0,0,0.00000,-1.5291,-0.0015,57.910,0,NONE,0,0.00000,-0.5623,0.0002,57.740,0,NONE
13101,144,1500,1500,0.0000,0.0000,0.0000,0.0000,1500,1500,0,0,51,1,0,0.00000,-1.5311,-0.0015,57.690,0,NONE,0,0.00000,-0.5448,0.0001,57.980,0,NONE
