# GT-EV-Testbed UART telemetry log
# session_start_ms,4068
# master_id,101,slave_id,102
# poll_ms=125, dual_uart, read_only
millis_ms,esc_id,vbat_v,rpm,motor_a,input_a,duty,fet_c,motor_c,fault
4410,102,3.600,0,0.0000,0.0000,-0.13970,26.1,-60.0,8
4416,102,3.620,0,0.0000,0.0000,-0.15240,26.2,-60.0,8
4537,102,3.590,0,0.0000,0.0000,-0.14040,26.1,-60.0,8
4537,102,3.610,0,0.0000,0.0000,-0.15480,26.2,-60.0,8
4662,102,3.600,0,0.0000,0.0000,-0.14260,26.1,-60.0,8
4662,102,3.610,0,0.0000,0.0000,-0.15280,26.2,-60.0,8
4787,102,3.610,0,0.0000,0.0000,-0.13920,26.1,-60.0,8
4787,102,3.620,0,0.0000,0.0000,-0.15450,26.2,-60.0,8
4912,102,3.590,0,0.0000,0.0000,-0.13800,26.1,-60.0,8
4914,102,3.620,0,0.0000,0.0000,-0.15410,26.2,-60.0,8
5037,102,3.600,0,0.0000,0.0000,-0.14130,26.1,-60.0,8
5037,102,3.620,0,0.0000,0.0000,-0.15230,26.2,-60.0,8
5162,102,3.600,0,0.0000,0.0000,-0.13960,26.1,-60.0,8
5162,102,3.620,0,0.0000,0.0000,-0.15420,26.2,-60.0,8
5287,102,3.600,0,0.0000,0.0000,-0.13980,26.1,-60.0,8
5287,102,3.620,0,0.0000,0.0000,-0.15610,26.2,-60.0,8
5412,102,3.600,0,0.0000,0.0000,-0.13970,26.1,-60.0,8
5414,102,3.620,0,0.0000,0.0000,-0.15160,26.2,-60.0,8
5537,102,3.600,0,0.0000,0.0000,-0.14060,26.1,-60.0,8
5537,102,3.620,0,0.0000,0.0000,-0.15150,26.2,-60.0,8
5662,102,3.600,0,0.0000,0.0000,-0.14000,26.1,-60.0,8
5662,102,3.620,0,0.0000,0.0000,-0.15310,26.2,-60.0,8
5787,102,3.590,0,0.0000,0.0000,-0.13940,26.1,-60.0,8
5787,102,3.620,0,0.0000,0.0000,-0.15510,26.2,-60.0,8
5912,102,3.600,0,0.0000,0.0000,-0.13930,26.1,-60.0,8
5912,102,3.620,0,0.0000,0.0000,-0.15110,26.2,-60.0,8
6037,102,3.600,0,0.0000,0.0000,-0.14040,26.1,-60.0,8
6039,102,3.620,0,0.0000,0.0000,-0.15220,26.2,-60.0,8
6162,102,3.600,0,0.0000,0.0000,-0.14130,26.1,-60.0,8
6162,102,3.620,0,0.0000,0.0000,-0.15310,26.2,-60.0,8
6287,102,3.590,0,0.0000,0.0000,-0.14070,26.1,-60.0,8
6287,102,3.630,0,0.0000,0.0000,-0.15020,26.2,-60.0,8
6412,102,3.590,0,0.0000,0.0000,-0.14050,26.1,-60.0,8
6413,102,3.630,0,0.0000,0.0000,-0.14950,26.2,-60.0,8
6537,102,3.610,0,0.0000,0.0000,-0.13790,26.1,-60.0,8
6537,102,3.620,0,0.0000,0.0000,-0.15360,26.2,-60.0,8
6662,102,3.590,0,0.0000,0.0000,-0.13940,26.1,-60.0,8
6662,102,3.620,0,0.0000,0.0000,-0.15070,26.2,-60.0,8
6787,102,3.600,0,0.0000,0.0000,-0.14110,26.1,-60.0,8
6787,102,3.620,0,0.0000,0.0000,-0.15330,26.2,-60.0,8
6912,102,3.610,0,0.0000,0.0000,-0.13970,26.1,-60.0,8
6912,102,3.620,0,0.0000,0.0000,-0.15010,26.2,-60.0,8
7037,102,3.600,0,0.0000,0.0000,-0.13950,26.1,-60.0,8
7037,102,3.620,0,0.0000,0.0000,-0.15330,26.2,-60.0,8
7162,102,3.600,0,0.0000,0.0000,-0.14120,26.1,-60.0,8
7162,102,3.620,0,0.0000,0.0000,-0.15370,26.2,-60.0,8
7287,102,3.590,0,0.0000,0.0000,-0.14240,26.1,-60.0,8
7287,102,3.620,0,0.0000,0.0000,-0.15200,26.2,-60.0,8
7412,102,3.590,0,0.0000,0.0000,-0.14200,26.1,-60.0,8
