# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,3996
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.3.0
# poll_ms=125,drive=PPM D6/D10
# control_state: 0=STOP_NO_THROTTLE 1=NORMAL_DRIVE 2=STEERING_TIMEOUT 3=FAILSAFE_STOP
# throttle_age_ms,steering_age_ms: -1 if channel never seen
# stop_commanded: 1=firmware neutral due to invalid throttle only
time_ms,loop_dt_ms,throttle_us,steering_us,throttle_norm,steering_norm,left_mix,right_mix,master_ppm_us,slave_ppm_us,throttle_age_ms,steering_age_ms,throttle_signal_valid,steering_signal_valid,throttle_ever_seen,steering_ever_seen,stop_commanded,control_state,esc1_last_update_age_ms,esc2_last_update_age_ms,esc1_rpm,esc1_duty,esc1_motor_current,esc1_input_current,esc1_vin,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_current,esc2_input_current,esc2_vin,esc2_fault_code,esc2_fault_name
4533,0,1065,1492,0.8700,0.0000,0.0450,0.0450,1518,1518,0,31,1,1,1,1,0,1,31,0,0,0.00000,0.0000,0.0000,57.410,0,NONE,0,0.00000,0.0000,0.0000,57.530,0,NONE
4669,136,1017,1492,0.9660,0.0000,0.1050,0.1050,1542,1542,0,31,1,1,1,1,0,1,31,0,0,0.00000,0.0000,0.0000,57.400,0,NONE,0,0.00000,0.0000,0.0000,57.520,0,NONE
4805,136,1290,1492,0.4200,0.0000,0.1650,0.1650,1566,1566,0,31,1,1,1,1,0,1,31,0,0,0.00000,0.0000,0.0000,57.400,0,NONE,0,0.00000,0.0000,0.0000,57.530,0,NONE
4941,136,1471,1492,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00000,0.0000,0.0000,57.400,0,NONE,0,0.00000,0.0000,0.0000,57.530,0,NONE
5077,136,1465,1492,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,31,0,0,0.00000,0.0000,0.0000,57.410,0,NONE,0,0.00000,0.0000,0.0000,57.510,0,NONE
5213,136,1247,1492,0.5060,0.0000,0.0450,0.0450,1518,1518,0,30,1,1,1,1,0,1,31,0,0,0.00000,0.0000,0.0000,57.400,0,NONE,0,0.00000,0.0000,0.0000,57.530,0,NONE
5349,136,1068,1492,0.8640,0.0000,0.1050,0.1050,1542,1542,0,31,1,1,1,1,0,1,31,0,0,0.00000,0.0000,0.0000,57.400,0,NONE,0,0.00000,0.0000,0.0000,57.530,0,NONE
5485,136,1126,1492,0.7480,0.0000,0.1650,0.1650,1566,1566,0,31,1,1,1,1,0,1,31,0,213,0.20150,11.3766,1.5292,55.120,0,NONE,291,0.22460,13.8524,2.0998,54.840,0,NONE
5621,136,1472,1492,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,802,0.28350,27.1192,4.9674,54.650,0,NONE,1802,0.41430,22.1045,4.9944,54.670,0,NONE
5757,136,1472,1492,0.0000,0.0000,0.0000,0.0000,1500,1500,0,31,1,1,1,1,0,1,32,1,1381,0.21560,20.3989,5.0039,54.670,0,NONE,1432,0.22200,19.8555,4.9933,54.870,0,NONE
