# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,4002
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.1.0
# poll_ms=125,drive=PPM D6/D10
time_ms,throttle_us,steering_us,master_ppm_us,slave_ppm_us,esc1_rpm,esc1_duty,esc1_motor_a,esc1_input_a,esc1_v_in,esc1_fet_c,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_a,esc2_input_a,esc2_v_in,esc2_fet_c,esc2_fault_code,esc2_fault_name
4448,1500,1500,1500,1500,0,-0.15050,0.0000,0.0000,3.580,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15280,0.0000,0.0000,3.580,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
4593,1500,1500,1500,1500,0,-0.15210,0.0000,0.0000,3.550,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15440,0.0000,0.0000,3.580,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
4730,1500,1500,1500,1500,0,-0.14910,0.0000,0.0000,3.560,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15230,0.0000,0.0000,3.580,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
4868,1500,1500,1500,1500,0,-0.15040,0.0000,0.0000,3.570,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15430,0.0000,0.0000,3.580,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5005,1500,1500,1500,1500,0,-0.15040,0.0000,0.0000,3.560,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15220,0.0000,0.0000,3.590,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5149,1500,1500,1500,1500,0,-0.14770,0.0000,0.0000,3.570,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15430,0.0000,0.0000,3.580,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5287,1500,1500,1500,1500,0,-0.14910,0.0000,0.0000,3.570,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15290,0.0000,0.0000,3.590,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5424,1500,1500,1500,1500,0,-0.14920,0.0000,0.0000,3.560,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15420,0.0000,0.0000,3.590,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5562,1500,1500,1500,1500,0,-0.15010,0.0000,0.0000,3.550,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15270,0.0000,0.0000,3.580,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5699,1500,1500,1500,1500,0,-0.14680,0.0000,0.0000,3.560,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15130,0.0000,0.0000,3.580,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
