# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,4005
# master_id,101,slave_id,102
# poll_ms=125,drive=PPM D6/D10
millis_ms,esc_id,vbat_v,rpm,motor_a,input_a,duty,fet_c,motor_c,fault,thr_us,str_us,mst_ppm_us,slv_ppm_us
8589,102,3.660,0,0.0000,0.0000,-0.14900,25.9,-60.0,8,1500,1500,1500,1500
8680,102,3.630,0,0.0000,0.0000,-0.14500,25.9,-60.0,8,1500,1500,1500,1500
8726,102,3.650,0,0.0000,0.0000,-0.15010,25.9,-60.0,8,1500,1500,1500,1500
8818,102,3.630,0,0.0000,0.0000,-0.14670,25.9,-60.0,8,1500,1500,1500,1500
8864,102,3.660,0,0.0000,0.0000,-0.15010,25.9,-60.0,8,1500,1500,1500,1500
8955,102,3.630,0,0.0000,0.0000,-0.14720,25.9,-60.0,8,1500,1500,1500,1500
9002,102,3.650,0,0.0000,0.0000,-0.15080,25.9,-60.0,8,1500,1500,1500,1500
9093,102,3.630,0,0.0000,0.0000,-0.14680,25.9,-60.0,8,1500,1500,1500,1500
9139,102,3.640,0,0.0000,0.0000,-0.14900,25.9,-60.0,8,1500,1500,1500,1500
9231,102,3.630,0,0.0000,0.0000,-0.14500,25.9,-60.0,8,1500,1500,1500,1500
9277,102,3.650,0,0.0000,0.0000,-0.14840,25.9,-60.0,8,1500,1500,1500,1500
9368,102,3.640,0,0.0000,0.0000,-0.14320,25.9,-60.0,8,1500,1500,1500,1500
9415,102,3.650,0,0.0000,0.0000,-0.14930,25.9,-60.0,8,1500,1500,1500,1500
9517,102,3.630,0,0.0000,0.0000,-0.14450,25.9,-60.0,8,1500,1500,1500,1500
9564,102,3.640,0,0.0000,0.0000,-0.15020,25.9,-60.0,8,1500,1500,1500,1500
9655,102,3.630,0,0.0000,0.0000,-0.14250,25.9,-60.0,8,1500,1500,1500,1500
9701,102,3.650,0,0.0000,0.0000,-0.14810,25.9,-60.0,8,1500,1500,1500,1500
9793,102,3.640,0,0.0000,0.0000,-0.14420,25.9,-60.0,8,1500,1500,1500,1500
9839,102,3.650,0,0.0000,0.0000,-0.14890,25.9,-60.0,8,1500,1500,1500,1500
9930,102,3.620,0,0.0000,0.0000,-0.14320,25.9,-60.0,8,1500,1500,1500,1500
9977,102,3.650,0,0.0000,0.0000,-0.15010,25.9,-60.0,8,1500,1500,1500,1500
10068,102,3.620,0,0.0000,0.0000,-0.14700,25.9,-60.0,8,1500,1500,1500,1500
10121,102,3.650,0,0.0000,0.0000,-0.14960,25.9,-60.0,8,1500,1500,1500,1500
10212,102,3.640,0,0.0000,0.0000,-0.14740,25.9,-60.0,8,1500,1500,1500,1500
10259,102,3.640,0,0.0000,0.0000,-0.14950,25.9,-60.0,8,1500,1500,1500,1500
10350,102,3.630,0,0.0000,0.0000,-0.14570,25.9,-60.0,8,1500,1500,1500,1500
10396,102,3.640,0,0.0000,0.0000,-0.15000,25.9,-60.0,8,1500,1500,1500,1500
10488,102,3.630,0,0.0000,0.0000,-0.14960,25.9,-60.0,8,1500,1500,1500,1500
10534,102,3.650,0,0.0000,0.0000,-0.14860,25.9,-60.0,8,1500,1500,1500,1500
10626,102,3.630,0,0.0000,0.0000,-0.14790,25.9,-60.0,8,1500,1500,1500,1500
10672,102,3.640,0,0.0000,0.0000,-0.15020,25.9,-60.0,8,1500,1500,1500,1500
10763,102,3.640,0,0.0000,0.0000,-0.14460,25.9,-60.0,8,1500,1500,1500,1500
10810,102,3.650,0,0.0000,0.0000,-0.14900,25.9,-60.0,8,1500,1500,1500,1500
10901,102,3.630,0,0.0000,0.0000,-0.14330,25.9,-60.0,8,1500,1500,1500,1500
10947,102,3.640,0,0.0000,0.0000,-0.14950,25.9,-60.0,8,1500,1500,1500,1500
11039,102,3.630,0,0.0000,0.0000,-0.14240,25.9,-60.0,8,1500,1500,1500,1500
11085,102,3.640,0,0.0000,0.0000,-0.15140,25.9,-60.0,8,1500,1500,1500,1500
11176,102,3.640,0,0.0000,0.0000,-0.14340,25.9,-60.0,8,1500,1500,1500,1500
11332,102,3.640,0,0.0000,0.0000,-0.14970,25.9,-60.0,8,1500,1500,1500,1500
11433,102,3.630,0,0.0000,0.0000,-0.14040,25.9,-60.0,8,1500,1500,1500,1500
11480,102,3.640,0,0.0000,0.0000,-0.14800,25.9,-60.0,8,1500,1500,1500,1500
11574,102,3.640,0,0.0000,0.0000,-0.14730,25.9,-60.0,8,1500,1500,1500,1500
11620,102,3.640,0,0.0000,0.0000,-0.14770,25.9,-60.0,8,1500,1500,1500,1500
11712,102,3.620,0,0.0000,0.0000,-0.14270,25.9,-60.0,8,1500,1500,1500,1500
11761,102,3.640,0,0.0000,0.0000,-0.14930,25.9,-60.0,8,1500,1500,1500,1500
11928,102,3.610,0,0.0000,0.0000,-0.14340,25.9,-60.0,8,1500,1500,1500,1500
11979,102,3.640,0,0.0000,0.0000,-0.15100,25.9,-60.0,8,1500,1500,1500,1500
12071,102,3.620,0,0.0000,0.0000,-0.14610,25.9,-60.0,8,1500,1500,1500,1500
12117,102,3.640,0,0.0000,0.0000,-0.14890,25.9,-60.0,8,1500,1500,1500,1500
12210,102,3.620,0,0.0000,0.0000,-0.14550,25.9,-60.0,8,1500,1500,1500,1500
12258,102,3.640,0,0.0000,0.0000,-0.15040,25.9,-60.0,8,1500,1500,1500,1500
12352,102,3.630,0,0.0000,0.0000,-0.14380,25.9,-60.0,8,1500,1500,1500,1500
12477,102,3.650,0,0.0000,0.0000,-0.14920,25.9,-60.0,8,1500,1500,1500,1500
12571,102,3.620,0,0.0000,0.0000,-0.14480,25.9,-60.0,8,1500,1500,1500,1500
12634,102,3.640,0,0.0000,0.0000,-0.15120,25.9,-60.0,8,1500,1500,1500,1500
12729,102,3.630,0,0.0000,0.0000,-0.14620,25.9,-60.0,8,1500,1500,1500,1500
12775,102,3.640,0,0.0000,0.0000,-0.15020,25.9,-60.0,8,1500,1500,1500,1500
12867,102,3.630,0,0.0000,0.0000,-0.14190,25.9,-60.0,8,1500,1500,1500,1500
12914,102,3.640,0,0.0000,0.0000,-0.14550,25.9,-60.0,8,1500,1500,1500,1500
13103,102,3.640,0,0.0000,0.0000,-0.14930,25.9,-60.0,8,1500,1500,1500,1500
13149,102,3.630,0,0.0000,0.0000,-0.15120,25.9,-60.0,8,1500,1500,1500,1500
13241,102,3.630,0,0.0000,0.0000,-0.14580,25.9,-60.0,8,1500,1500,1500,1500
13288,102,3.640,0,0.0000,0.0000,-0.15070,25.9,-60.0,8,1500,1500,1500,1500
13381,102,3.620,0,0.0000,0.0000,-0.14750,25.9,-60.0,8,1500,1500,1500,1500
13443,102,3.640,0,0.0000,0.0000,-0.14920,25.9,-60.0,8,1500,1500,1500,1500
13536,102,3.630,0,0.0000,0.0000,-0.14620,25.9,-60.0,8,1500,1500,1500,1500
