# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,3996
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.1.0
# poll_ms=125,drive=PPM D6/D10
time_ms,throttle_us,steering_us,master_ppm_us,slave_ppm_us,esc1_rpm,esc1_duty,esc1_motor_a,esc1_input_a,esc1_v_in,esc1_fet_c,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_a,esc2_input_a,esc2_v_in,esc2_fet_c,esc2_fault_code,esc2_fault_name
4464,1500,1500,1500,1500,0,-0.00890,0.0921,-0.0001,57.640,26.4,0,NONE,0,0.00940,-0.0019,-0.0000,57.750,26.5,0,NONE
4609,1500,1500,1500,1500,0,-0.00920,0.0000,0.0000,57.660,26.4,0,NONE,0,0.00960,0.0000,0.0000,57.770,26.5,0,NONE
4746,1500,1500,1500,1500,0,-0.00920,0.0000,0.0000,57.650,26.4,0,NONE,0,0.00950,0.0000,0.0000,57.760,26.5,0,NONE
4884,1500,1500,1500,1500,0,0.00000,0.5211,-0.0003,57.650,26.5,0,NONE,0,0.00000,0.0619,0.0001,57.760,26.5,0,NONE
5021,1500,1500,1500,1500,0,0.00000,1.4532,-0.0010,57.640,26.5,0,NONE,0,0.00000,0.0148,0.0001,57.750,26.5,0,NONE
5163,1500,1500,1500,1500,0,0.00000,1.4674,-0.0010,57.650,26.5,0,NONE,0,0.00000,-0.0132,-0.0000,57.770,26.5,0,NONE
5300,1500,1500,1500,1500,0,0.00000,1.4994,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.0428,-0.0001,57.740,26.5,0,NONE
5438,1500,1500,1500,1500,0,0.00000,1.4808,-0.0012,57.640,26.5,0,NONE,0,0.00000,0.0148,0.0000,57.750,26.5,0,NONE
5576,1500,1500,1500,1500,0,0.00000,1.4069,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2910,-0.0004,57.750,26.5,0,NONE
5713,1500,1500,1500,1500,0,0.00000,1.0512,-0.0012,57.660,26.5,0,NONE,0,0.00000,-0.1793,-0.0003,57.750,26.5,0,NONE
5851,1500,1500,1500,1500,0,0.00000,1.4214,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2110,-0.0003,57.760,26.5,0,NONE
5988,1500,1500,1500,1500,0,0.00000,0.3502,-0.0013,57.660,26.5,0,NONE,0,0.00000,-0.2373,-0.0004,57.760,26.5,0,NONE
6126,1500,1500,1500,1500,0,0.00000,0.4325,-0.0012,57.660,26.5,0,NONE,0,0.00000,-0.2283,-0.0003,57.750,26.5,0,NONE
6263,1500,1500,1500,1500,0,0.00000,0.7222,-0.0012,57.670,26.5,0,NONE,0,0.00000,-0.1932,-0.0003,57.750,26.5,0,NONE
6400,1500,1500,1500,1500,0,0.00000,1.3086,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2151,-0.0003,57.750,26.5,0,NONE
6538,1500,1500,1500,1500,0,0.00000,1.3130,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.1987,-0.0003,57.750,26.5,0,NONE
6676,1500,1500,1500,1500,0,0.00000,1.5085,-0.0011,57.680,26.5,0,NONE,0,0.00000,-0.1980,-0.0003,57.760,26.5,0,NONE
6813,1500,1500,1500,1500,0,0.00000,1.3894,-0.0011,57.670,26.5,0,NONE,0,0.00000,-0.2494,-0.0004,57.760,26.5,0,NONE
6951,1500,1500,1500,1500,0,0.00000,1.4832,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2194,-0.0003,57.760,26.5,0,NONE
7088,1500,1500,1500,1500,0,0.00000,1.5452,-0.0011,57.670,26.5,0,NONE,0,0.00000,-0.2237,-0.0003,57.740,26.5,0,NONE
7225,1500,1500,1500,1500,0,0.00000,1.5083,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2309,-0.0003,57.750,26.5,0,NONE
7363,1500,1500,1500,1500,0,0.00000,1.4514,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2331,-0.0004,57.750,26.5,0,NONE
7501,1500,1500,1500,1500,0,0.00000,1.5055,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.1719,-0.0003,57.740,26.5,0,NONE
7638,1500,1500,1500,1500,0,0.00000,1.4410,-0.0011,57.670,26.5,0,NONE,0,0.00000,-0.2700,-0.0004,57.750,26.5,0,NONE
7776,1500,1500,1500,1500,0,0.00000,1.5302,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.2539,-0.0004,57.760,26.5,0,NONE
7913,1500,1500,1500,1500,0,0.00000,1.4429,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2339,-0.0003,57.750,26.5,0,NONE
8051,1500,1500,1500,1500,0,0.00000,1.4353,-0.0012,57.660,26.5,0,NONE,0,0.00000,-0.2391,-0.0004,57.750,26.5,0,NONE
8199,1500,1500,1500,1500,0,0.00000,1.4847,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2466,-0.0004,57.740,26.5,0,NONE
8337,1500,1500,1500,1500,0,0.00000,1.4444,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2551,-0.0004,57.740,26.5,0,NONE
8474,1500,1500,1500,1500,0,0.00000,1.3499,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2733,-0.0004,57.740,26.5,0,NONE
8612,1500,1500,1500,1500,0,0.00000,1.4843,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2466,-0.0004,57.750,26.5,0,NONE
8749,1500,1500,1500,1500,0,0.00000,1.3984,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.2430,-0.0004,57.750,26.5,0,NONE
8887,1500,1500,1500,1500,0,0.00000,1.4955,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2609,-0.0004,57.750,26.5,0,NONE
9024,1500,1500,1500,1500,0,0.00000,1.2741,-0.0011,57.670,26.5,0,NONE,0,0.00000,-0.2471,-0.0004,57.750,26.5,0,NONE
9162,1500,1500,1500,1500,0,0.00000,1.4323,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2776,-0.0004,57.750,26.5,0,NONE
9299,1500,1500,1500,1500,0,0.00000,1.3801,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2811,-0.0004,57.760,26.5,0,NONE
9437,1500,1500,1500,1500,0,0.00000,1.3415,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2450,-0.0004,57.750,26.5,0,NONE
9574,1500,1500,1500,1500,0,0.00000,1.5506,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2812,-0.0004,57.750,26.5,0,NONE
9712,1500,1500,1500,1500,0,0.00000,1.4082,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2327,-0.0004,57.760,26.5,0,NONE
9849,1500,1500,1500,1500,0,0.00000,1.3727,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2673,-0.0004,57.750,26.5,0,NONE
9987,1500,1500,1500,1500,0,0.00000,1.3350,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.1914,-0.0003,57.750,26.5,0,NONE
10135,1500,1500,1500,1500,0,0.00000,1.5152,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2253,-0.0004,57.750,26.5,0,NONE
10272,1500,1500,1500,1500,0,0.00000,1.4347,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2366,-0.0004,57.760,26.5,0,NONE
10409,1500,1500,1500,1500,0,0.00000,1.5418,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2337,-0.0004,57.750,26.5,0,NONE
10547,1500,1500,1500,1500,0,0.00000,1.4399,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2025,-0.0003,57.750,26.5,0,NONE
10685,1500,1500,1500,1500,0,0.00000,1.4581,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2212,-0.0003,57.760,26.5,0,NONE
10822,1500,1500,1500,1500,0,0.00000,0.8880,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.1884,-0.0003,57.740,26.5,0,NONE
10960,1500,1500,1500,1500,0,0.00000,-1.3932,-0.0014,57.650,26.5,0,NONE,0,0.00000,0.0197,-0.0001,57.750,26.5,0,NONE
11097,1500,1500,1500,1500,0,0.00000,-1.5948,-0.0014,57.630,26.5,0,NONE,0,0.00000,-0.1078,-0.0002,57.740,26.5,0,NONE
11235,1500,1500,1500,1500,2,0.00000,-1.4666,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2233,-0.0004,57.750,26.5,0,NONE
11372,1500,1500,1500,1500,-53,0.00000,-0.2103,-0.0010,57.650,26.5,0,NONE,0,0.00000,-0.2954,-0.0005,57.760,26.5,0,NONE
11510,1500,1500,1500,1500,0,0.00000,1.4351,-0.0009,57.650,26.5,0,NONE,0,0.00000,-0.2876,-0.0004,57.740,26.5,0,NONE
11647,1500,1500,1500,1500,0,0.00000,1.4416,-0.0010,57.630,26.5,0,NONE,0,0.00000,-0.2177,-0.0003,57.730,26.5,0,NONE
11785,1500,1500,1500,1500,0,0.00000,1.4479,-0.0011,57.680,26.5,0,NONE,0,0.00000,-0.2482,-0.0004,57.760,26.5,0,NONE
11922,1500,1500,1500,1500,0,0.00000,1.4492,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.2260,-0.0004,57.760,26.5,0,NONE
12060,1500,1500,1500,1500,0,0.00000,1.4468,-0.0010,57.640,26.5,0,NONE,0,0.00000,-0.2588,-0.0004,57.740,26.5,0,NONE
12197,1500,1500,1500,1500,0,0.00000,1.5109,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2813,-0.0004,57.750,26.6,0,NONE
12335,1500,1500,1500,1500,0,0.00000,1.4143,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2452,-0.0004,57.760,26.5,0,NONE
12472,1500,1500,1500,1500,0,0.00000,1.4484,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2393,-0.0004,57.740,26.5,0,NONE
12610,1500,1500,1500,1500,0,0.00000,1.4861,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2354,-0.0004,57.740,26.5,0,NONE
12747,1500,1500,1500,1500,0,0.00000,1.5108,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.2293,-0.0003,57.740,26.6,0,NONE
12885,1500,1500,1500,1500,0,0.00000,1.3090,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2264,-0.0003,57.740,26.5,0,NONE
13022,1500,1500,1500,1500,0,0.00000,1.3906,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.2100,-0.0003,57.740,26.6,0,NONE
13160,1500,1500,1500,1500,0,0.00000,1.4825,-0.0011,57.620,26.5,0,NONE,0,0.00000,-0.2418,-0.0004,57.740,26.5,0,NONE
13309,1500,1500,1500,1500,0,0.00000,1.4483,-0.0011,57.670,26.5,0,NONE,0,0.00000,-0.2047,-0.0003,57.740,26.6,0,NONE
13446,1500,1500,1500,1500,0,0.00000,1.4717,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2051,-0.0003,57.740,26.5,0,NONE
13584,1500,1500,1500,1500,0,0.00000,1.4708,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.2075,-0.0003,57.750,26.5,0,NONE
13721,1500,1500,1500,1500,0,0.00000,1.4780,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.2139,-0.0003,57.740,26.6,0,NONE
13859,1500,1500,1500,1500,0,0.00000,1.3966,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.2736,-0.0004,57.750,26.6,0,NONE
13996,1500,1500,1500,1500,0,0.00000,1.3268,-0.0011,57.670,26.5,0,NONE,0,0.00000,-0.2398,-0.0004,57.750,26.6,0,NONE
14134,1500,1500,1500,1500,0,0.00000,1.3501,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2076,-0.0003,57.750,26.5,0,NONE
14271,1500,1500,1500,1500,0,0.00000,1.4298,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.1958,-0.0003,57.750,26.6,0,NONE
14409,1500,1500,1500,1500,0,0.00000,1.4620,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2536,-0.0004,57.740,26.6,0,NONE
14546,1500,1500,1500,1500,0,0.00000,1.5512,-0.0012,57.640,26.5,0,NONE,0,0.00000,-0.1949,-0.0003,57.740,26.5,0,NONE
14684,1500,1500,1500,1500,0,0.00000,1.3074,-0.0010,57.650,26.5,0,NONE,0,0.00000,-0.3159,-0.0005,57.740,26.5,0,NONE
14821,1500,1500,1500,1500,0,0.00000,1.4083,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.0956,-0.0002,57.730,26.5,0,NONE
14959,1500,1500,1500,1500,0,0.00000,1.4754,-0.0011,57.660,26.5,0,NONE,0,0.00000,-0.1862,-0.0003,57.740,26.5,0,NONE
15105,1500,1500,1500,1500,0,0.00000,1.4276,-0.0011,57.630,26.5,0,NONE,0,0.00000,-0.2672,-0.0004,57.760,26.6,0,NONE
15243,1500,1500,1500,1500,0,0.00000,1.3757,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2476,-0.0004,57.740,26.5,0,NONE
15380,1500,1500,1500,1500,0,0.00000,1.4284,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2135,-0.0003,57.750,26.5,0,NONE
15518,1500,1500,1500,1500,0,0.00000,1.3683,-0.0011,57.650,26.5,0,NONE,0,0.00000,-0.2573,-0.0004,57.750,26.6,0,NONE
15655,1500,1500,1500,1500,0,0.00000,1.3641,-0.0011,57.640,26.5,0,NONE,0,0.00000,-0.2333,-0.0004,57.740,26.5,0,NONE
