# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,3996
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.1.0
# poll_ms=125,drive=PPM D6/D10
time_ms,throttle_us,steering_us,master_ppm_us,slave_ppm_us,esc1_rpm,esc1_duty,esc1_motor_a,esc1_input_a,esc1_v_in,esc1_fet_c,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_a,esc2_input_a,esc2_v_in,esc2_fet_c,esc2_fault_code,esc2_fault_name
4427,999,1508,1518,1518,0,-0.00920,0.0825,-0.0001,57.750,26.0,0,NONE,0,-0.00950,-0.0095,0.0000,57.870,26.0,0,NONE
4563,1471,1508,1500,1500,0,-0.00940,0.0000,0.0000,57.750,26.0,0,NONE,0,-0.00920,0.0000,0.0000,57.860,26.0,0,NONE
4699,1471,1508,1500,1500,0,-0.00910,0.0000,0.0000,57.730,26.0,0,NONE,0,-0.00960,0.0000,0.0000,57.860,26.0,0,NONE
4835,1467,1508,1500,1500,0,0.00000,0.5255,-0.0004,57.740,26.0,0,NONE,0,0.00000,-0.1698,-0.0000,57.850,26.0,0,NONE
4971,999,1508,1518,1518,0,0.00000,1.3095,-0.0009,57.740,26.0,0,NONE,0,0.00000,-0.1576,0.0000,57.850,26.0,0,NONE
5107,999,1508,1542,1542,0,0.00000,1.3987,-0.0010,57.740,26.0,0,NONE,0,0.00000,-0.0841,-0.0000,57.850,26.0,0,NONE
5243,1472,1508,1500,1500,75,0.03460,1.6840,0.0285,57.700,26.0,0,NONE,68,0.04280,1.9054,0.0521,57.770,26.0,0,NONE
5379,1472,1508,1500,1500,134,0.00000,3.6958,0.1462,57.750,26.0,0,NONE,48,0.00000,3.0032,0.1264,57.850,26.0,0,NONE
5515,1405,1509,1500,1500,119,0.00000,-0.5354,-0.0013,57.670,26.0,0,NONE,15,0.00000,0.7840,0.0011,57.850,26.0,0,NONE
5651,1471,1508,1500,1500,-9,0.00000,1.4914,-0.0004,57.730,26.0,0,NONE,0,0.00000,-0.3551,-0.0005,57.840,26.0,0,NONE
5787,1472,1508,1500,1500,0,0.00000,1.4787,-0.0010,57.740,26.0,0,NONE,-99,0.00000,-0.3892,-0.0005,57.840,26.0,0,NONE
5923,1472,1508,1500,1500,0,0.00000,0.8898,-0.0011,57.720,26.0,0,NONE,0,0.00000,-0.2233,-0.0004,57.830,26.0,0,NONE
6059,1472,1508,1500,1500,0,0.00000,-0.9039,-0.0013,57.760,26.0,0,NONE,0,0.00000,-0.2162,-0.0003,57.830,26.0,0,NONE
6195,1472,1508,1500,1500,0,0.00000,1.1865,-0.0011,57.740,26.0,0,NONE,0,0.00000,-0.1960,-0.0003,57.820,26.0,0,NONE
6331,1471,1508,1500,1500,0,0.00000,-1.0107,-0.0013,57.730,26.0,0,NONE,0,0.00000,0.0029,-0.0001,57.830,26.0,0,NONE
6467,1471,1509,1500,1500,0,0.00000,-1.4828,-0.0013,57.730,26.0,0,NONE,0,0.00000,-0.1272,-0.0002,57.850,26.0,0,NONE
6603,1472,1509,1500,1500,0,0.00000,-1.4398,-0.0013,57.740,26.0,0,NONE,0,0.00000,-0.1342,-0.0002,57.830,26.0,0,NONE
6740,1472,1509,1500,1500,0,0.00000,-1.3644,-0.0012,57.720,26.0,0,NONE,0,0.00000,-0.1235,-0.0002,57.850,26.0,0,NONE
6876,1472,1509,1500,1500,0,0.00000,-1.4178,-0.0013,57.690,26.0,0,NONE,0,0.00000,-0.0922,-0.0002,57.840,26.0,0,NONE
7012,1469,1509,1500,1500,0,0.00000,-1.4381,-0.0013,57.730,26.0,0,NONE,0,0.00000,-0.1274,-0.0002,57.850,26.0,0,NONE
7148,1469,1507,1500,1500,0,0.00000,-1.4557,-0.0013,57.750,26.0,0,NONE,0,0.00000,-0.1599,-0.0002,57.850,26.0,0,NONE
7284,1471,1508,1500,1500,0,0.00000,-1.4640,-0.0013,57.750,26.0,0,NONE,0,0.00000,-0.1431,-0.0002,57.850,26.0,0,NONE
7420,1464,1508,1500,1500,0,0.00000,-1.4688,-0.0013,57.730,26.0,0,NONE,0,0.00000,-0.1582,-0.0002,57.840,26.0,0,NONE
7556,1422,1508,1500,1500,0,0.00000,-1.4343,-0.0013,57.750,26.0,0,NONE,0,0.00000,-0.1496,-0.0002,57.830,26.0,0,NONE
7692,1343,1509,1529,1529,0,0.00000,-1.4695,-0.0013,57.750,26.0,0,NONE,0,0.00000,-0.1634,-0.0003,57.850,26.0,0,NONE
7828,1343,1510,1553,1553,0,0.00570,-1.0986,-0.0016,57.720,26.0,0,NONE,0,0.02020,0.2802,0.0062,57.830,26.0,0,NONE
7964,1350,1515,1554,1554,110,0.05520,3.6201,0.1265,57.560,26.0,0,NONE,132,0.06140,4.5371,0.1822,57.650,26.0,0,NONE
8100,1387,1513,1538,1538,212,0.05730,6.2933,0.3155,57.630,26.0,0,NONE,216,0.05520,4.7320,0.2276,57.650,26.1,0,NONE
