# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,4002
# master_id,101 (esc1),slave_id,102 (esc2)
# firmware,2.1.0
# poll_ms=125,drive=PPM D6/D10
time_ms,throttle_us,steering_us,master_ppm_us,slave_ppm_us,esc1_rpm,esc1_duty,esc1_motor_a,esc1_input_a,esc1_v_in,esc1_fet_c,esc1_fault_code,esc1_fault_name,esc2_rpm,esc2_duty,esc2_motor_a,esc2_input_a,esc2_v_in,esc2_fet_c,esc2_fault_code,esc2_fault_name
4465,1500,1500,1500,1500,0,-0.14610,0.0000,0.0000,3.460,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15820,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
4610,1500,1500,1500,1500,0,-0.14440,0.0000,0.0000,3.440,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15920,0.0000,0.0000,3.460,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
4747,1500,1500,1500,1500,0,-0.14770,0.0000,0.0000,3.440,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15790,0.0000,0.0000,3.460,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
4885,1500,1500,1500,1500,0,-0.14780,0.0000,0.0000,3.450,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15980,0.0000,0.0000,3.460,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5022,1500,1500,1500,1500,0,-0.14510,0.0000,0.0000,3.450,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15670,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5166,1500,1500,1500,1500,0,-0.14560,0.0000,0.0000,3.440,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15750,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5304,1500,1500,1500,1500,0,-0.14490,0.0000,0.0000,3.440,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15740,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5441,1500,1500,1500,1500,0,-0.14670,0.0000,0.0000,3.440,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15790,0.0000,0.0000,3.460,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5579,1500,1500,1500,1500,0,-0.14480,0.0000,0.0000,3.450,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15870,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5716,1500,1500,1500,1500,0,-0.14760,0.0000,0.0000,3.440,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15610,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5854,1500,1500,1500,1500,0,-0.14670,0.0000,0.0000,3.460,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15720,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
5991,1500,1500,1500,1500,0,-0.14450,0.0000,0.0000,3.460,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15950,0.0000,0.0000,3.480,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6129,1500,1500,1500,1500,0,-0.14420,0.0000,0.0000,3.440,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15920,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6266,1500,1500,1500,1500,0,-0.14550,0.0000,0.0000,3.440,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15930,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6404,1500,1500,1500,1500,0,-0.14900,0.0000,0.0000,3.450,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.16050,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6541,1500,1500,1500,1500,0,-0.14550,0.0000,0.0000,3.450,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15710,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6679,1500,1500,1500,1500,0,-0.14510,0.0000,0.0000,3.450,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15820,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6816,1500,1500,1500,1500,0,-0.14610,0.0000,0.0000,3.460,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15970,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
6954,1500,1500,1500,1500,0,-0.14940,0.0000,0.0000,3.440,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15940,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
7091,1500,1500,1500,1500,0,-0.14840,0.0000,0.0000,3.450,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15820,0.0000,0.0000,3.470,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
7229,1500,1500,1500,1500,0,-0.14730,0.0000,0.0000,3.450,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15860,0.0000,0.0000,3.460,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
7366,1500,1500,1500,1500,0,-0.14570,0.0000,0.0000,3.450,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.15800,0.0000,0.0000,3.480,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
7504,1500,1500,1500,1500,0,-0.14420,0.0000,0.0000,3.450,25.9,8,GATE_DRIVER_UNDER_VOLTAGE,0,-0.16020,0.0000,0.0000,3.480,25.9,8,GATE_DRIVER_UNDER_VOLTAGE
